ID,Lat_deg,Lon_deg,DispR_mmyr,Disp_mm,20250721,20250725,20250801,20250805,20250812,20250816,20250823,20250827,20250903,20250907,20250914,20250918,20250925,20250929,20251006
2374,-6.163546,106.819899,-17.00751,-3.58789,0,-0.39614,-1.30832,-0.44756,2.63009,-0.23516,-0.85684,-0.12302,-1.75105,-1.9619,-2.00703,-1.98798,-2.61005,-2.35356,-4.13838
2768,-6.163526,106.819907,-10.33138,-2.1795,0,-0.7512,-2.41748,-0.23943,1.53936,-0.17285,0.44079,0.10038,-1.32151,-1.50975,-1.46354,-2.19219,-1.35373,-1.04349,-3.67669
2904,-6.163545,106.819904,-16.99194,-3.5846,0,-0.41308,-1.32993,-0.45223,2.66806,-0.23516,-0.8621,-0.13529,-1.7639,-1.97125,-2.01521,-1.97863,-2.62407,-2.34012,-4.1448
4066,-6.164883,106.820034,1.66762,0.3518,0,0.81174,-0.0565,0.53192,2.02333,0.98721,0.29855,1.5637,2.34895,1.46644,0.55991,0.22886,1.37035,0.97658,0.22948
4593,-6.163495,106.819871,-7.02121,-1.48119,0,1.58045,0.62666,0.99708,-0.87052,1.77989,0.46604,-0.24118,-0.22774,-0.13157,-0.1492,0.34862,-0.39344,-0.5471,-0.87269
5061,-6.163585,106.819898,-17.24446,-3.63787,0,-0.43235,-1.4386,-0.38563,2.67624,-0.22639,-0.8136,0.23397,-1.89593,-2.13716,-1.89426,-2.33385,-2.74208,-2.31615,-4.0589
5122,-6.163617,106.819924,-17.08664,-3.60458,0,-0.37726,-2.20208,-0.54073,1.03158,-1.1244,-0.61264,-0.08233,-1.58004,-1.84201,-2.34962,-2.93593,-3.44411,-2.76286,-4.17449
5184,-6.163596,106.819932,-20.66307,-4.35906,0,-0.23396,-1.81844,-0.41518,0.47501,-1.26457,-0.8208,-0.13555,-1.44506,-1.71048,-2.43524,-3.4675,-4.07241,-3.62487,-4.69844
5645,-6.163635,106.819927,-20.7511,-4.37763,0,-0.2316,-2.21958,-0.66483,0.96526,-1.02059,-1.32816,-0.15053,-2.25603,-2.34863,-2.43626,-3.00168,-4.4136,-4.25877,-4.15042
5674,-6.163561,106.819922,-18.57164,-3.91785,0,-0.56031,-1.35038,-0.10285,2.13639,-1.08058,-1.12268,0.11419,-1.68619,-2.06882,-2.2086,-2.61839,-3.04123,-2.9051,-4.30606
5907,-6.150686,106.81716,-18.96605,-4.00106,0,2.38118,1.40651,2.39024,2.92113,0.37077,0.98591,-0.6817,-0.43273,0.46784,-0.27765,-0.74034,-0.22839,-0.56236,-4.3426
6115,-6.163508,106.819899,-8.42585,-1.77751,0,-0.29187,-1.88204,-0.03009,1.86633,-0.26941,0.91861,0.95879,-0.70585,-1.12872,-1.10438,-2.08715,-0.85589,-0.59823,-2.61973
7103,-6.163507,106.819908,-7.45442,-1.57258,0,-0.70786,-2.17768,-0.43031,1.40827,-0.11166,0.43309,0.33597,-0.80693,-1.48512,-1.51979,-1.677,-0.874,-0.44925,-3.08714
7609,-6.164901,106.82004,-0.22633,-0.04775,0,0.83082,0.71228,1.36029,1.92394,0.90674,0.25495,1.81507,1.70926,1.23953,0.429,0.23117,1.40602,0.98246,0.25248
8346,-6.163635,106.819928,-20.20412,-4.26224,0,-0.20531,-2.2225,-0.6917,0.73273,-1.10998,-1.34978,-0.14877,-2.16605,-2.38076,-2.4906,-2.92514,-4.3505,-4.05487,-4.1808
8667,-6.163593,106.819951,-15.47943,-3.26552,0,0.64332,-1.69709,0.0121,1.65534,-0.88174,-0.64849,-0.09073,-0.6529,-1.43042,-1.56761,-2.33278,-2.43822,-1.92466,-3.69064
8916,-6.163595,106.819937,-21.01479,-4.43326,0,-0.21877,-1.7828,-0.3439,0.82323,-1.32767,-0.78282,0.00351,-1.43104,-1.61642,-2.39492,-3.40324,-4.01808,-3.69206,-4.76212
9060,-6.163614,106.819941,-18.38569,-3.87862,0,-0.12252,-2.06127,-0.41278,1.52002,-0.91582,-0.36783,0.07484,-1.29726,-1.44588,-1.97336,-2.91782,-3.53291,-3.43301,-3.96942
9086,-6.16416,106.820048,-4.03303,-0.8508,0,0.9592,0.56894,2.42021,0.52738,0.59996,1.6502,-0.61631,1.68428,-0.68732,1.45495,1.61028,1.37757,0.79978,-2.42824
9225,-6.164159,106.820053,-4.05752,-0.85597,0,0.95803,0.5666,2.41729,0.52446,0.59821,1.64845,-0.61865,1.67902,-0.69199,1.45086,1.60386,1.37231,0.7951,-2.43408
10192,-6.163132,106.819792,6.8875,1.45298,0,-1.0295,-1.64025,-0.54283,-0.61043,-0.81252,-3.55864,-0.95852,-1.46396,0.30541,-0.63281,-1.89163,0.83469,0.63603,1.1404
10719,-6.164237,106.820044,-0.46207,-0.09748,0,1.72384,0.56071,2.48274,1.54005,1.7201,3.22948,-0.604,1.27066,1.23941,0.28421,0.40063,2.81175,2.67971,-0.52716
11148,-6.163612,106.819948,-18.38648,-3.87879,0,-0.21483,-2.12203,-0.4788,1.43939,-0.90648,-0.3246,0.04504,-1.33582,-1.5715,-2.25147,-2.87108,-3.50487,-3.10524,-4.30829
11297,-6.150719,106.817182,-20.13991,-4.24869,0,-0.80564,-1.3962,-2.36726,-1.85777,-3.18865,-2.8464,-3.77791,-4.33196,-3.32679,-2.99611,-5.69801,-4.21571,-4.77015,-4.19655
11307,-6.163509,106.819896,-8.62534,-1.81959,0,-0.62256,-2.63223,-0.23925,0.86549,-0.77304,0.75443,0.31961,-0.68131,-1.03582,-1.24928,-2.97406,-1.2713,-0.95872,-3.13563
11394,-6.16365,106.819948,-9.53205,-2.01087,0,-0.10511,-1.63654,0.02133,1.79845,-0.30558,-0.68515,-0.59247,-1.491,-1.71426,-1.80735,-1.81219,-0.64669,-0.22076,-3.20698
11756,-6.165061,106.820094,7.75155,1.63526,0,0.53128,-1.15539,-0.11298,1.65022,0.34152,-0.32434,1.14634,0.92396,1.01853,1.11395,1.93306,0.94729,0.37127,2.01559
11775,-6.164901,106.820041,-0.26888,-0.05672,0,0.53988,0.46457,0.8783,1.25559,0.86935,0.09253,1.57203,1.07245,0.97721,0.18947,-0.25607,1.48664,0.45666,0.13271
12169,-6.150767,106.817225,-6.78481,-1.43132,0,1.17726,0.43769,-0.07536,0.22281,-0.81618,-1.34735,-1.6917,-1.18769,-0.42638,-0.31654,-0.58784,-0.26912,-0.5598,-1.69629
12369,-6.16409,106.820019,-19.55111,-4.12448,0,2.38986,0.31965,0.17504,-1.2683,0.00647,-0.69431,-0.43931,-0.51629,0.12462,0.17987,-0.06576,-4.16452,-4.5729,-3.04939
12535,-6.16315,106.819797,6.99645,1.47596,0,-1.07274,-1.76762,-0.63573,-0.6969,-0.90133,-3.5306,-0.91821,-1.54225,0.27094,-0.65092,-1.96934,0.86857,0.5595,1.07905
12562,-6.163582,106.819908,-19.53395,-4.12086,0,-0.04616,-1.66763,-0.48553,2.58743,-0.27197,-0.56996,-0.16625,-1.81764,-2.12723,-1.68918,-2.5915,-3.15807,-3.13353,-4.32006
12804,-6.147218,106.816319,-10.10315,-2.13135,0,0.19237,-2.04061,0.00607,0.93207,-1.51986,-2.58034,-0.25859,-2.55008,-0.85445,-2.19686,-3.64774,-2.9573,-3.22233,0.72116
12850,-6.163668,106.819952,-8.24473,-1.7393,0,-1.11995,-1.56121,0.34712,1.81346,0.07694,-1.58003,-0.58611,-1.73034,-1.38089,-1.39271,-1.54047,-1.08329,-0.59895,-2.81949
13131,-6.164955,106.820057,16.66725,3.5161,0,3.99474,3.23093,2.97684,4.90813,4.05831,3.15317,5.87159,6.29478,5.3131,5.1709,5.98033,5.36975,4.92283,5.17918
13486,-6.163524,106.819917,-11.88374,-2.50698,0,-0.79093,-2.45137,-0.20321,1.05676,-0.79568,-0.13996,0.21664,-1.16552,-1.6044,-1.82695,-2.72562,-1.68325,-1.39755,-4.10787
14445,-6.152424,106.81756,-24.34982,-5.13681,0,1.69283,3.77447,3.28308,2.47324,1.74678,-0.51603,0.67399,2.23473,-1.03414,-2.73223,0.27576,-1.4859,-1.92857,-3.3874
15171,-6.152411,106.817625,-23.36639,-4.92935,0,1.11558,0.07879,-0.13042,-1.37004,-1.66668,-4.84516,-5.84595,-1.46646,-2.66093,-1.12856,-1.66035,-3.82585,-3.61357,-6.63465
15565,-6.150643,106.817091,-13.23176,-2.79136,0,0.13962,-0.57398,-1.03474,-0.19363,-1.19721,-1.59605,-1.97129,-3.05713,-1.85179,-1.70455,-1.94272,-1.49794,-2.0951,-3.82611
15663,-6.164866,106.820026,-3.36959,-0.71084,0,1.44036,1.2916,1.71878,2.76762,0.93585,0.98286,2.30228,2.28776,1.48849,0.48672,0.27569,0.96506,0.96038,0.09761
15733,-6.15067,106.817143,-13.01666,-2.74598,0,1.48542,-0.61783,0.16707,1.8914,-0.83426,0.42727,-1.49701,-2.0383,-0.60617,-1.16564,-1.4688,-0.37142,-1.28675,-3.11456
15951,-6.163543,106.819917,-15.02153,-3.16893,0,-0.73722,-2.11495,-0.39935,0.80563,-1.23899,-0.92728,-0.11757,-0.91487,-1.22622,-1.77062,-2.76114,-3.08253,-2.8015,-4.12657
16047,-6.162705,106.819561,12.93621,2.72901,0,-0.01916,0.18664,-1.38897,0.19694,-0.93445,-0.1428,0.19511,-0.52368,1.10904,0.15353,3.27768,0.75972,1.1594,3.2087
16299,-6.163651,106.819942,-17.02557,-3.5917,0,-0.03465,-2.15788,-0.46434,1.11533,-1.01373,-0.81783,-0.36249,-1.79706,-2.23025,-2.28064,-2.35662,-3.2929,-2.881,-3.95197
16305,-6.164125,106.820035,-2.90678,-0.61321,0,1.35452,0.15744,3.16541,1.60757,1.30212,1.57824,-0.16776,2.10086,-0.32223,2.29424,1.62478,1.85805,1.24929,-1.87268
16878,-6.152442,106.817563,-22.72457,-4.79395,0,-0.20016,0.41333,0.69106,-0.08448,0.22329,-3.57617,-1.31901,-0.09524,-3.33266,-5.23257,-2.43896,-3.56376,-4.16081,-2.90674
16889,-6.163618,106.81992,-17.15728,-3.61948,0,-0.61096,-2.18163,-0.62603,1.03275,-1.12908,-0.64185,-0.09986,-1.99779,-2.27319,-2.52373,-2.63329,-3.36114,-2.79792,-4.39826
17419,-6.152412,106.81762,-23.34303,-4.92442,0,1.11558,0.10219,-0.08714,-1.35133,-1.67721,-4.84224,-5.86934,-1.47055,-2.63403,-1.10809,-1.66094,-3.77146,-3.5931,-6.64634
17449,-6.163494,106.819874,-6.26741,-1.32217,0,1.18199,0.41866,0.84401,-0.55386,1.54035,0.49992,-0.39309,-0.42463,-0.11989,-0.40569,0.51221,-0.57222,-0.22634,-1.02694
18281,-6.150735,106.817196,-17.22761,-3.63432,0,-3.80397,-4.01536,-3.99164,-4.17777,-5.44443,-5.06734,-4.65685,-5.94444,-5.18094,-4.42954,-6.44311,-5.81794,-6.1636,-5.62894
18589,-6.15122,106.81733,-29.44667,-6.21204,0,-0.26244,-1.62684,-2.93591,2.40546,-2.41179,-1.71331,-1.78219,-3.55633,-1.52015,-3.58574,-3.96735,-7.18252,-6.99304,-4.90956
18931,-6.150721,106.817174,-19.99582,-4.2183,0,-0.38921,-1.1207,-2.21574,-1.82265,-3.14768,-2.57032,-3.53514,-3.95993,-3.11034,-2.6551,-5.42948,-3.97996,-4.61629,-4.11637
19038,-6.164108,106.820028,-19.96393,-4.21157,0,2.31976,0.28869,0.33804,-1.2683,0.05905,-0.60083,-0.37212,-0.37198,0.18772,0.07062,-0.12126,-4.17621,-4.81361,-3.00733
19157,-6.150785,106.817231,-4.99255,-1.05322,0,0.40379,-0.12695,-0.69582,0.04301,-1.47931,-1.60288,-1.78286,-1.76533,-0.27609,-0.46988,-0.68607,-0.71442,-0.9934,-1.50416
19496,-6.163576,106.819941,-14.14029,-2.98302,0,0.043,-1.68197,0.09644,2.13656,-1.25818,-0.39198,0.38221,-0.74687,-0.86828,-1.35002,-2.25611,-2.23796,-2.01068,-3.5754
19586,-6.163513,106.819874,-6.70452,-1.41438,0,1.36369,0.50922,0.85745,-1.03996,1.6087,0.33341,-0.32765,-0.20553,-0.28406,-0.38816,0.5385,-0.55879,-0.36773,-1.16132
19635,-6.164144,106.820036,-2.95848,-0.62412,0,0.72239,0.24274,3.55684,1.78634,1.02637,1.0355,-0.28285,1.70767,-0.61318,2.07749,1.58155,1.78794,1.34159,-2.01114
19645,-6.147217,106.816325,-9.32242,-1.96665,0,0.13855,-2.46243,0.22722,1.06546,-1.85158,-2.73128,-0.36975,-2.54072,-0.86323,-2.21792,-3.88878,-2.83795,-3.15798,0.91247
20478,-6.164918,106.820053,0.07304,0.01541,0,-0.0677,0.44007,0.78076,2.09501,0.4,-0.12037,2.46022,1.19534,1.2451,0.01418,0.29812,0.30032,0.02691,0.82155
20665,-6.146898,106.815938,-1.66805,-0.35189,0,-1.31354,-0.97896,-1.14552,-0.75537,-1.86886,-2.84569,-1.77367,-1.60225,-1.21626,-1.70022,-1.41937,-1.59153,-1.68339,-0.09704
20685,-6.16363,106.819952,-10.18306,-2.14821,0,-0.03429,-1.42422,0.28631,2.20974,0.18015,-0.01883,0.56783,-0.89885,-1.14084,-1.03301,-1.75882,-1.03744,-0.94046,-2.55436
20807,-6.163628,106.819963,-9.36637,-1.97592,0,0.45082,-1.26435,0.21645,1.66703,0.10097,-0.51389,-0.11341,-0.51008,-1.02642,-1.15284,-1.40693,-1.03806,-0.27737,-2.67378
20856,-6.152433,106.81761,-22.23658,-4.691,0,1.15652,-0.2171,0.13975,-0.99169,-1.4164,-4.33816,-5.51672,-1.00098,-2.3586,-0.84962,-1.35393,-3.44691,-3.61357,-6.39138
21146,-6.152317,106.817617,-23.74067,-5.00831,0,-3.41361,-2.81192,-1.20108,-3.8931,-2.44773,-5.30551,-5.18835,-3.08975,-6.59263,-1.65953,-5.10086,-6.35702,-6.06113,-7.45097
21982,-6.163117,106.819773,6.96206,1.46871,0,-1.32514,-2.18537,-1.19312,-1.12751,-0.86335,-3.88467,-1.64153,-1.73857,0.29548,-1.01667,-2.41221,0.48471,0.35851,0.87689
22565,-6.152425,106.817552,-23.23333,-4.90128,0,-0.237,0.67472,0.68989,-0.16576,0.22095,-3.58552,-1.31901,-0.17068,-3.38997,-5.239,-2.33663,-3.69825,-4.23917,-2.96112
24181,-6.152412,106.817616,-23.13032,-4.87955,0,1.43896,0.19283,-0.12515,-1.11976,-1.84328,-4.71944,-5.71788,-1.3998,-2.49895,-0.98353,-1.60714,-3.69602,-3.44048,-6.44986
24589,-6.16355,106.819881,-6.80745,-1.43609,0,2.01164,0.43093,1.16769,-0.55327,1.84124,0.99479,0.54348,-0.2032,-0.55224,-0.19009,0.26332,-0.34436,0.18381,-0.64775
24650,-6.150775,106.817186,-22.19876,-4.68303,0,1.15056,0.82565,0.53847,0.61293,0.48685,0.80907,-1.73457,-1.02143,-1.64564,-1.66683,-2.31956,-1.97913,-2.16511,-5.04937
25000,-6.164235,106.820053,-0.33206,-0.07005,0,1.72736,0.50343,3.0477,1.942,1.56996,3.29202,-0.31306,1.57272,1.3177,0.5138,0.47598,2.89181,2.79658,-0.39047
25492,-6.162693,106.81953,1.99306,0.42045,0,-0.42307,0.689,-0.89629,1.35946,0.68701,2.98306,1.6673,0.6768,2.24851,1.7733,-1.22714,1.97865,1.86588,-1.84266
25697,-6.15243,106.817625,-24.42691,-5.15307,0,0.87699,-0.175,-0.23626,-1.78289,-1.88129,-5.23463,-6.20325,-1.78984,-3.15156,-1.47708,-1.96443,-4.22934,-3.93578,-6.93873
25796,-6.150664,106.817082,-11.95064,-2.52109,0,0.01913,-0.43946,-0.87564,-0.32582,-1.20014,-1.66272,-1.78469,-2.99979,-1.69679,-1.36414,-1.87486,-1.24878,-2.03485,-3.50907
25967,-6.163578,106.819928,-18.66801,-3.93818,0,-0.25532,-1.13303,-0.35115,2.09432,-1.11856,-1.14195,0.16794,-1.4887,-1.82459,-2.19106,-2.55937,-2.97519,-2.70994,-4.46788
26033,-6.162727,106.819548,11.00958,2.32257,0,-0.02014,0.56757,-1.10317,0.82285,-0.89197,-0.17161,0.59346,-0.547,0.43308,0.18447,3.0823,0.96651,1.13246,2.90756
26513,-6.164179,106.82005,-5.78991,-1.22143,0,0.681,-0.95069,0.57057,0.46739,-0.4519,-0.13959,-1.04701,-0.98223,-0.45252,-1.26795,0.38912,-0.30973,-0.82326,-1.62981
26929,-6.165089,106.82005,0.70748,0.14925,0,0.32651,-1.41022,0.05527,1.40219,0.65502,-0.37254,0.50991,-0.48001,-0.21758,0.29334,0.69711,-0.04958,-0.48832,0.55953
26949,-6.150741,106.81717,-19.20619,-4.05172,0,-4.90693,-4.13754,-4.2097,-4.01627,-6.31178,-4.8449,-5.02302,-6.18948,-5.06857,-4.80375,-6.68042,-6.75102,-7.46923,-6.09324
27067,-6.164968,106.820083,22.62622,4.7732,0,4.26581,3.34953,3.01773,5.14065,4.64077,3.72511,6.29572,7.18978,6.0679,6.37028,6.90805,5.62563,6.13389,6.85177
27267,-6.152371,106.81754,-18.41987,-3.88584,0,1.11338,0.20451,-0.32884,-3.20198,-0.22444,-2.06626,-5.37407,-3.04039,-1.77182,-2.13829,-1.75212,-1.41694,-1.88594,-6.33097
28259,-6.15077,106.817211,-22.22611,-4.6888,0,0.72065,-0.38,-1.41263,-1.74529,-0.47236,-1.1766,-3.34231,-2.44948,-2.33237,-3.85013,-4.10806,-2.59432,-2.85634,-5.57041
28454,-6.165304,106.820016,2.21417,0.4671,0,-0.93914,-0.43328,1.25779,1.28922,1.52158,1.48834,1.30539,0.63168,0.65453,0.26868,0.2891,1.97589,0.62752,-0.35718
28761,-6.162814,106.819587,19.01862,4.01215,0,0.01144,-0.2586,0.63465,1.2202,-0.40957,2.20132,1.33155,-0.20948,1.00779,0.29475,5.47688,2.51953,2.49557,4.95436
28810,-6.166215,106.820381,-3.44619,-0.727,0,0.00753,-0.02382,-0.00524,0.07054,1.0015,0.12669,-0.58644,-0.29849,-0.89615,-1.25949,-0.58157,0.94149,-0.36349,-0.95265
28916,-6.152376,106.81761,-21.62599,-4.5622,0,-2.70369,-2.67566,-1.10986,-2.37209,-2.05943,-5.17452,-4.59538,-2.72719,-5.53827,-0.47652,-5.06518,-5.53131,-5.52839,-6.58315
28936,-6.162697,106.81951,10.98244,2.31684,0,0.40643,1.52735,1.46728,3.23391,2.60166,0.62878,2.06233,1.26486,2.51263,2.47016,4.78361,3.1053,2.95396,1.77649
29040,-6.152369,106.817548,-14.54665,-3.06875,0,1.31223,0.3431,-0.11424,-3.09558,-0.01803,-1.89845,-5.09695,-2.99834,-1.60459,-1.72254,-1.44923,-0.6392,-0.92107,-5.26205
29044,-6.151186,106.81731,-6.14085,-1.29547,0,-2.82069,-1.90148,-1.6135,-2.35182,-1.95036,-3.49944,-3.72525,-3.38203,-2.31117,-3.02294,-3.80683,-1.87223,-1.47103,-3.27231
29137,-6.150901,106.817221,-3.03109,-0.63944,0,-0.13611,-0.7775,-0.14181,-1.4339,-0.88175,-1.31727,-1.8024,-1.3283,-1.17295,-1.63429,-0.77754,-0.16119,-0.87998,-1.07727
30040,-6.151253,106.817352,-19.85436,-4.18845,0,2.56682,-0.70855,-0.99117,3.44546,-2.06498,-1.97436,-2.17202,-2.59457,-0.87318,-2.49934,-2.72969,-2.48708,-2.50814,-3.07172
30059,-6.163136,106.819776,7.01488,1.47985,0,-1.09318,-2.07904,-1.37425,-1.15965,-0.8873,-3.84727,-1.64212,-1.93371,0.1611,-0.9413,-2.34502,0.55015,0.38597,0.98673
30088,-6.144235,106.815518,-7.93607,-1.67418,0,-0.40112,1.06607,1.66131,1.41009,1.80979,-4.61934,1.97184,-0.61038,-1.47961,-0.15852,-1.45854,-0.42647,-0.44929,-0.74982
30594,-6.165113,106.820117,-4.96799,-1.04804,0,-0.59374,-1.94219,-0.71976,1.25149,0.22387,1.13152,-0.03687,-1.07542,-1.79144,-2.31813,-2.51681,0.26755,-0.17702,-1.52523
30684,-6.151202,106.817327,-3.42097,-0.72168,0,-2.87238,-1.89982,-1.67005,-1.82416,-1.84719,-2.81424,-1.8889,-3.19876,-1.66386,-1.23233,-2.87207,-1.9854,-1.81404,-2.49728
31010,-6.147315,106.816405,-8.64478,-1.82369,0,-3.16098,-3.2117,-2.15567,-3.7994,-2.43171,-3.96237,-3.89154,-4.28006,-2.21506,-3.27411,-2.6569,-4.45875,-4.03986,-3.47282
31366,-6.163739,106.81979,-2.24328,-0.47324,0,0.51508,-0.47357,0.2179,1.71717,-1.09653,-0.51944,0.62362,-0.1135,0.95105,1.0457,-0.0949,-0.50786,-0.20112,-0.87748
31432,-6.147648,106.816533,-4.41549,-0.93149,0,0.33996,0.52716,0.04083,0.52969,-0.5106,-1.5085,-1.20769,0.47074,-0.63089,-0.12433,0.75764,-0.48697,-0.62327,-1.49194
31636,-6.147682,106.816554,-3.52375,-0.74337,0,-0.0163,0.23408,0.1356,-0.05472,-0.68493,-1.59976,-1.26794,0.23616,-0.81516,-0.13778,0.16914,-0.61508,-0.29041,-1.48843
31685,-6.164975,106.820049,15.29161,3.2259,0,3.63078,3.07436,2.63391,4.58857,3.87838,2.85698,5.51639,5.57796,4.89422,4.93079,5.53808,4.98242,4.29305,4.88007
31697,-6.151222,106.817321,-26.76912,-5.64718,0,-0.21624,-1.46367,-2.57858,2.68677,-2.01644,-2.12153,-1.81377,-3.21186,-1.10901,-1.65285,-3.45503,-7.04801,-6.86028,-4.27442
32244,-6.150753,106.817202,-8.85825,-1.86873,0,0.52657,-0.2082,0.93808,0.18262,-0.52713,-0.99589,-2.45023,-0.73464,-1.07559,-1.14957,-1.04701,-0.16644,-0.66708,-2.51439
32299,-6.151204,106.817316,-2.76493,-0.58329,0,-2.92092,-1.79688,-1.47647,-1.86568,-1.60857,-2.56802,-1.98013,-2.95079,-1.44162,-1.12413,-2.72411,-1.97312,-1.68479,-2.22358
32373,-6.152392,106.817623,-25.48666,-5.37664,0,-2.93994,-2.67858,-1.46423,-3.12762,-2.59216,-6.22127,-5.56494,-3.70727,-6.55285,-1.54315,-5.87334,-6.34766,-6.11199,-7.50476
32452,-6.162751,106.819522,10.79898,2.27814,0,0.76158,1.08705,0.26129,2.69401,-0.70689,0.81165,1.47973,0.36713,0.65867,0.72871,3.73946,2.19684,2.45511,2.78493
32512,-6.165087,106.820059,0.55537,0.11716,0,0.43459,-1.65675,-0.25027,1.71883,0.55337,-0.51625,0.32179,-0.65177,-0.22809,0.39557,0.53937,-0.32241,-0.41413,0.4976
33241,-6.150681,106.817182,-12.09949,-2.5525,0,-0.40516,-0.39152,-1.26875,-0.83426,-1.60294,-1.72208,-2.64657,-3.12837,-1.52458,-1.63841,-2.61052,-2.09171,-2.83624,-2.75165
